game_id,game_type_id,WEEK,HOME_TEAM_ID,AWAY_TEAM_ID,created_date,create_user
61,1,4,21,7,2018-10-15 7:04,mortimer
183,1,13,8,27,2018-10-15 7:04,mortimer
40,1,3,8,6,2018-10-15 7:04,mortimer
162,1,12,14,21,2018-10-15 7:04,mortimer
223,1,15,31,23,2018-10-15 7:04,mortimer
19,1,2,32,10,2018-10-15 7:04,mortimer
80,1,6,20,10,2018-10-15 7:04,mortimer
202,1,14,10,18,2018-10-15 7:04,mortimer
59,1,4,12,31,2018-10-15 7:04,mortimer
181,1,13,22,26,2018-10-15 7:04,mortimer
242,1,17,7,8,2018-10-15 7:04,mortimer
38,1,3,7,14,2018-10-15 7:04,mortimer
221,1,15,26,17,2018-10-15 7:04,mortimer
78,1,6,27,16,2018-10-15 7:04,mortimer
200,1,14,15,16,2018-10-15 7:04,mortimer
57,1,4,6,9,2018-10-15 7:04,mortimer
240,1,16,15,30,2018-10-15 7:04,mortimer
36,1,3,25,23,2018-10-15 7:04,mortimer
97,1,7,19,32,2018-10-15 7:04,mortimer
219,1,15,32,18,2018-10-15 7:04,mortimer
76,1,5,11,1,2018-10-15 7:04,mortimer
198,1,14,11,25,2018-10-15 7:04,mortimer
259,2,1,4,15,2018-10-15 7:04,mortimer
55,1,4,13,19,2018-10-15 7:04,mortimer
116,1,8,18,20,2018-10-15 7:04,mortimer
238,1,16,23,4,2018-10-15 7:04,mortimer
95,1,7,4,15,2018-10-15 7:04,mortimer
217,1,15,8,19,2018-10-15 7:04,mortimer
74,1,5,6,17,2018-10-15 7:04,mortimer
257,2,1,32,29,2018-10-15 7:04,mortimer
114,1,8,7,13,2018-10-15 7:04,mortimer
236,1,16,25,2,2018-10-15 7:04,mortimer
93,1,7,11,26,2018-10-15 7:04,mortimer
72,1,5,30,29,2018-10-15 7:04,mortimer
133,1,9,16,5,2018-10-15 7:04,mortimer
255,1,17,12,29,2018-10-15 7:04,mortimer
112,1,8,9,24,2018-10-15 7:04,mortimer
234,1,16,3,28,2018-10-15 7:04,mortimer
91,1,6,25,12,2018-10-15 7:04,mortimer
152,1,11,32,28,2018-10-15 7:04,mortimer
131,1,9,7,30,2018-10-15 7:04,mortimer
253,1,17,2,31,2018-10-15 7:04,mortimer
110,1,8,17,8,2018-10-15 7:04,mortimer
150,1,11,19,31,2018-10-15 7:04,mortimer
7,1,1,21,26,2018-10-15 7:04,mortimer
129,1,9,21,17,2018-10-15 7:04,mortimer
108,1,8,28,10,2018-10-15 7:04,mortimer
169,1,12,7,10,2018-10-15 7:04,mortimer
26,1,2,6,1,2018-10-15 7:04,mortimer
148,1,11,24,8,2018-10-15 7:04,mortimer
5,1,1,17,14,2018-10-15 7:04,mortimer
127,1,9,15,9,2018-10-15 7:04,mortimer
188,1,13,25,14,2018-10-15 7:04,mortimer
167,1,12,20,19,2018-10-15 7:04,mortimer
24,1,2,11,9,2018-10-15 7:04,mortimer
146,1,10,19,13,2018-10-15 7:04,mortimer
3,1,1,24,7,2018-10-15 7:04,mortimer
186,1,13,18,15,2018-10-15 7:04,mortimer
43,1,3,27,5,2018-10-15 7:04,mortimer
165,1,12,31,26,2018-10-15 7:04,mortimer
22,1,2,27,3,2018-10-15 7:04,mortimer
144,1,10,29,25,2018-10-15 7:04,mortimer
205,1,14,31,1,2018-10-15 7:04,mortimer
1,1,1,1,19,2018-10-15 7:04,mortimer
62,1,5,19,20,2018-10-15 7:04,mortimer
184,1,13,20,32,2018-10-15 7:04,mortimer
41,1,3,9,4,2018-10-15 7:04,mortimer
163,1,12,13,18,2018-10-15 7:04,mortimer
224,1,15,13,3,2018-10-15 7:04,mortimer
20,1,2,8,24,2018-10-15 7:04,mortimer
203,1,14,29,21,2018-10-15 7:04,mortimer
60,1,4,23,3,2018-10-15 7:04,mortimer
182,1,13,16,3,2018-10-15 7:04,mortimer
39,1,3,2,22,2018-10-15 7:04,mortimer
222,1,15,1,12,2018-10-15 7:04,mortimer
18,1,2,26,23,2018-10-15 7:04,mortimer
79,1,6,17,30,2018-10-15 7:04,mortimer
201,1,14,26,2,2018-10-15 7:04,mortimer
58,1,4,20,28,2018-10-15 7:04,mortimer
180,1,13,9,2,2018-10-15 7:04,mortimer
241,1,17,24,17,2018-10-15 7:04,mortimer
37,1,3,31,11,2018-10-15 7:04,mortimer
98,1,7,9,27,2018-10-15 7:04,mortimer
220,1,15,6,30,2018-10-15 7:04,mortimer
77,1,6,22,4,2018-10-15 7:04,mortimer
199,1,14,9,22,2018-10-15 7:04,mortimer
260,2,1,23,10,2018-10-15 7:04,mortimer
56,1,4,14,24,2018-10-15 7:04,mortimer
239,1,16,29,1,2018-10-15 7:04,mortimer
96,1,7,13,24,2018-10-15 7:04,mortimer
218,1,15,5,9,2018-10-15 7:04,mortimer
75,1,5,7,15,2018-10-15 7:04,mortimer
258,2,1,16,5,2018-10-15 7:04,mortimer
54,1,4,5,32,2018-10-15 7:04,mortimer
115,1,8,21,25,2018-10-15 7:04,mortimer
237,1,16,14,8,2018-10-15 7:04,mortimer
94,1,7,25,1,2018-10-15 7:04,mortimer
216,1,15,27,15,2018-10-15 7:04,mortimer
73,1,5,12,21,2018-10-15 7:04,mortimer
134,1,9,2,4,2018-10-15 7:04,mortimer
256,1,17,1,25,2018-10-15 7:04,mortimer
113,1,8,26,22,2018-10-15 7:04,mortimer
235,1,16,18,19,2018-10-15 7:04,mortimer
92,1,7,7,17,2018-10-15 7:04,mortimer
132,1,9,1,14,2018-10-15 7:04,mortimer
254,1,17,30,14,2018-10-15 7:04,mortimer
111,1,8,32,1,2018-10-15 7:04,mortimer
90,1,6,31,2,2018-10-15 7:04,mortimer
151,1,11,13,20,2018-10-15 7:04,mortimer
8,1,1,16,27,2018-10-15 7:04,mortimer
130,1,9,12,25,2018-10-15 7:04,mortimer
252,1,17,11,23,2018-10-15 7:04,mortimer
109,1,8,15,5,2018-10-15 7:04,mortimer
170,1,12,4,9,2018-10-15 7:04,mortimer
149,1,11,11,18,2018-10-15 7:04,mortimer
6,1,1,13,8,2018-10-15 7:04,mortimer
128,1,9,27,18,2018-10-15 7:04,mortimer
168,1,12,22,15,2018-10-15 7:04,mortimer
25,1,2,2,29,2018-10-15 7:04,mortimer
147,1,10,31,32,2018-10-15 7:04,mortimer
4,1,1,31,9,2018-10-15 7:04,mortimer
126,1,9,22,31,2018-10-15 7:04,mortimer
187,1,13,4,11,2018-10-15 7:04,mortimer
44,1,3,29,12,2018-10-15 7:04,mortimer
166,1,12,28,27,2018-10-15 7:04,mortimer
23,1,2,15,28,2018-10-15 7:04,mortimer
145,1,10,1,2,2018-10-15 7:04,mortimer
206,1,14,14,12,2018-10-15 7:04,mortimer
2,1,1,28,3,2018-10-15 7:04,mortimer
185,1,13,5,6,2018-10-15 7:04,mortimer
42,1,3,3,20,2018-10-15 7:04,mortimer
164,1,12,8,17,2018-10-15 7:04,mortimer
21,1,2,20,7,2018-10-15 7:04,mortimer
204,1,14,30,8,2018-10-15 7:04,mortimer
265,2,3,1,19,2018-10-15 7:04,mortimer
122,1,9,32,3,2018-10-15 7:04,mortimer
244,1,17,22,9,2018-10-15 7:04,mortimer
101,1,7,10,3,2018-10-15 7:04,mortimer
141,1,10,10,24,2018-10-15 7:04,mortimer
263,2,2,19,23,2018-10-15 7:04,mortimer
120,1,8,3,19,2018-10-15 7:04,mortimer
99,1,7,5,28,2018-10-15 7:04,mortimer
160,1,11,4,7,2018-10-15 7:04,mortimer
17,1,2,5,16,2018-10-15 7:04,mortimer
139,1,10,5,26,2018-10-15 7:04,mortimer
261,2,2,7,5,2018-10-15 7:04,mortimer
118,1,8,27,14,2018-10-15 7:04,mortimer
179,1,13,12,1,2018-10-15 7:04,mortimer
158,1,11,6,14,2018-10-15 7:04,mortimer
15,1,1,10,2,2018-10-15 7:04,mortimer
137,1,10,9,23,2018-10-15 7:04,mortimer
177,1,13,10,13,2018-10-15 7:04,mortimer
34,1,3,10,19,2018-10-15 7:04,mortimer
156,1,11,2,12,2018-10-15 7:04,mortimer
13,1,1,23,12,2018-10-15 7:04,mortimer
135,1,10,15,27,2018-10-15 7:04,mortimer
196,1,14,24,5,2018-10-15 7:04,mortimer
53,1,4,4,26,2018-10-15 7:04,mortimer
175,1,12,2,23,2018-10-15 7:04,mortimer
32,1,2,4,31,2018-10-15 7:04,mortimer
154,1,11,3,15,2018-10-15 7:04,mortimer
215,1,15,2,11,2018-10-15 7:04,mortimer
11,1,1,25,20,2018-10-15 7:04,mortimer
194,1,14,20,17,2018-10-15 7:04,mortimer
51,1,4,16,18,2018-10-15 7:04,mortimer
173,1,12,30,24,2018-10-15 7:04,mortimer
30,1,2,30,21,2018-10-15 7:04,mortimer
213,1,15,28,16,2018-10-15 7:04,mortimer
9,1,1,22,11,2018-10-15 7:04,mortimer
70,1,5,32,13,2018-10-15 7:04,mortimer
192,1,13,17,24,2018-10-15 7:04,mortimer
49,1,4,11,2,2018-10-15 7:04,mortimer
171,1,12,6,25,2018-10-15 7:04,mortimer
232,1,16,32,27,2018-10-15 7:04,mortimer
28,1,2,14,22,2018-10-15 7:04,mortimer
89,1,6,29,11,2018-10-15 7:04,mortimer
211,1,15,4,22,2018-10-15 7:04,mortimer
68,1,5,3,18,2018-10-15 7:04,mortimer
190,1,13,19,7,2018-10-15 7:04,mortimer
251,1,17,28,32,2018-10-15 7:04,mortimer
47,1,3,32,16,2018-10-15 7:04,mortimer
230,1,16,16,21,2018-10-15 7:04,mortimer
87,1,6,1,23,2018-10-15 7:04,mortimer
209,1,15,25,29,2018-10-15 7:04,mortimer
66,1,5,31,25,2018-10-15 7:04,mortimer
249,1,17,19,10,2018-10-15 7:04,mortimer
45,1,3,24,21,2018-10-15 7:04,mortimer
106,1,7,16,22,2018-10-15 7:04,mortimer
228,1,16,17,7,2018-10-15 7:04,mortimer
85,1,6,15,32,2018-10-15 7:04,mortimer
207,1,14,6,7,2018-10-15 7:04,mortimer
64,1,5,4,5,2018-10-15 7:04,mortimer
125,1,9,20,11,2018-10-15 7:04,mortimer
247,1,17,26,4,2018-10-15 7:04,mortimer
104,1,7,23,2,2018-10-15 7:04,mortimer
226,1,16,11,31,2018-10-15 7:04,mortimer
83,1,6,18,5,2018-10-15 7:04,mortimer
266,2,3,7,4,2018-10-15 7:04,mortimer
123,1,9,24,6,2018-10-15 7:04,mortimer
245,1,17,20,13,2018-10-15 7:04,mortimer
102,1,7,6,21,2018-10-15 7:04,mortimer
81,1,6,24,19,2018-10-15 7:04,mortimer
142,1,10,18,28,2018-10-15 7:04,mortimer
264,2,2,30,4,2018-10-15 7:04,mortimer
121,1,8,23,11,2018-10-15 7:04,mortimer
243,1,17,16,15,2018-10-15 7:04,mortimer
100,1,7,8,20,2018-10-15 7:04,mortimer
161,1,11,26,16,2018-10-15 7:04,mortimer
140,1,10,3,12,2018-10-15 7:04,mortimer
262,2,2,1,32,2018-10-15 7:04,mortimer
119,1,8,16,4,2018-10-15 7:04,mortimer
159,1,11,29,10,2018-10-15 7:04,mortimer
16,1,1,29,6,2018-10-15 7:04,mortimer
138,1,10,17,16,2018-10-15 7:04,mortimer
117,1,8,29,31,2018-10-15 7:04,mortimer
178,1,13,23,31,2018-10-15 7:04,mortimer
35,1,3,15,26,2018-10-15 7:04,mortimer
157,1,11,25,30,2018-10-15 7:04,mortimer
14,1,1,30,4,2018-10-15 7:04,mortimer
136,1,10,8,21,2018-10-15 7:04,mortimer
197,1,14,27,4,2018-10-15 7:04,mortimer
176,1,12,3,5,2018-10-15 7:04,mortimer
33,1,3,28,18,2018-10-15 7:04,mortimer
155,1,11,21,1,2018-10-15 7:04,mortimer
12,1,1,18,32,2018-10-15 7:04,mortimer
195,1,14,3,32,2018-10-15 7:04,mortimer
52,1,4,17,10,2018-10-15 7:04,mortimer
174,1,12,12,11,2018-10-15 7:04,mortimer
31,1,2,12,13,2018-10-15 7:04,mortimer
153,1,11,27,22,2018-10-15 7:04,mortimer
214,1,15,7,24,2018-10-15 7:04,mortimer
10,1,1,5,15,2018-10-15 7:04,mortimer
71,1,5,9,16,2018-10-15 7:04,mortimer
193,1,14,13,23,2018-10-15 7:04,mortimer
50,1,4,22,8,2018-10-15 7:04,mortimer
172,1,12,1,29,2018-10-15 7:04,mortimer
233,1,16,13,10,2018-10-15 7:04,mortimer
29,1,2,19,17,2018-10-15 7:04,mortimer
212,1,15,21,14,2018-10-15 7:04,mortimer
69,1,5,10,8,2018-10-15 7:04,mortimer
191,1,13,21,30,2018-10-15 7:04,mortimer
48,1,3,17,13,2018-10-15 7:04,mortimer
231,1,16,22,5,2018-10-15 7:04,mortimer
27,1,2,18,25,2018-10-15 7:04,mortimer
88,1,6,28,13,2018-10-15 7:04,mortimer
210,1,15,10,20,2018-10-15 7:04,mortimer
67,1,5,26,27,2018-10-15 7:04,mortimer
189,1,13,28,29,2018-10-15 7:04,mortimer
250,1,17,21,6,2018-10-15 7:04,mortimer
46,1,3,1,30,2018-10-15 7:04,mortimer
107,1,8,30,6,2018-10-15 7:04,mortimer
229,1,16,24,20,2018-10-15 7:04,mortimer
86,1,6,14,6,2018-10-15 7:04,mortimer
208,1,14,19,28,2018-10-15 7:04,mortimer
65,1,5,23,22,2018-10-15 7:04,mortimer
248,1,17,5,27,2018-10-15 7:04,mortimer
105,1,7,30,12,2018-10-15 7:04,mortimer
227,1,16,12,6,2018-10-15 7:04,mortimer
84,1,6,8,7,2018-10-15 7:04,mortimer
63,1,5,2,28,2018-10-15 7:04,mortimer
124,1,9,23,29,2018-10-15 7:04,mortimer
246,1,17,18,3,2018-10-15 7:04,mortimer
103,1,7,14,29,2018-10-15 7:04,mortimer
225,1,16,9,26,2018-10-15 7:04,mortimer
82,1,6,26,9,2018-10-15 7:04,mortimer
143,1,10,14,30,2018-10-15 7:04,mortimer
